"Platform","URL","Username","Tweet","Query","Message"
"X","https://x.com/JeffTheMVP/status/2056369534404317262","JeffTheMVP","looking to hire a video editor asap please be good with ...","looking to hire video editor","Hey @JeffTheMVP ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/janwhyy/status/2048418020494873079","janwhyy","I'm looking to hire a short form video editor, someone who ...","looking to hire video editor","Hey @janwhyy ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/champtgram/status/2051766345063161875","champtgram","looking to hire a new long form video editor send your work ...","looking to hire video editor","Hey @champtgram ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/tayoainafilms/status/2049121285549023672","tayoainafilms","I'm looking to hire a ""Professional Video Editor"" to join our ...","looking to hire video editor","Hey @tayoainafilms ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/zdubs33/status/2051303787651109240","zdubs33","Looking to hire a video editor to join the @stabledash ...","looking to hire video editor","Hey @zdubs33 ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/jobsincrypto/status/2054502056933613702","jobsincrypto","Video Editor at Stratosphere","looking to hire video editor","Hey @jobsincrypto ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/Ishansharma7390/status/2055247426546811024","Ishansharma7390","I'm looking to hire a cracked video editor with 2+ years ...","looking to hire video editor","Hey @Ishansharma7390 ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/dr3wrogers/status/2051463621901746583","dr3wrogers","It's time to extend the creative torch and remove myself as a ...","looking to hire video editor","Hey @dr3wrogers ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/Fluffyquack/status/2056366432137388362","Fluffyquack","Does anyone know of a good video editor that lets you trim ...","anyone know video editor","Hey @Fluffyquack ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/type_kshitij/status/2056557230863114569","type_kshitij","Ghostfeed's video editor is one of the hardest pieces ...","recommend video editor -for hire","Hey @type_kshitij ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/ZeleShaffie/status/2049928539034538456","ZeleShaffie","Can someone recommend for me an AI video editor ... X https://x.com ? ZeleShaffie ? status","recommend video editor -for hire","Hey @ZeleShaffie ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/ysabaimedia/status/2055287085339226567","ysabaimedia","X ? ysabaimedia 8 likes We're looking for someone to join the Y Sabai team. We need help with: ? Social media & community growth ? Video editing & graphic design","need help video editing","Hey @ysabaimedia ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/robj3d3/status/2054857917585822026","robj3d3","X ? robj3d3 180+ likes I'm hiring ??? Looking for a video editor for a small one-off > 45-second podcast intro for my YouTube show > I've already done the bulk of the edit","looking for video editor -for hire -available","Hey @robj3d3 ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/AficionadoChris/status/2050034142222704989","AficionadoChris","If you or someone you know is looking for a video editor ...","looking for video editor -for hire -available","Hey @AficionadoChris ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/visualsbyjohnny/status/2057782148078436823","visualsbyjohnny","Looking for a short-form video editor for our content (2M+ ...","looking for video editor -for hire -available","Hey @visualsbyjohnny ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/traversymedia/status/2055364818467488160","traversymedia","Clean style. Not too much going on. I hate over-edited videos","looking for video editor -for hire -available","Hey @traversymedia ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/georgeclem/status/2052736006659440989","georgeclem","George Clements | Paid Ads (@georgeclem) on X","need ad creatives -we create -we make","Hey @georgeclem ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/adamtaylorl/status/2054799281769656436","adamtaylorl","realizing this is literally the cheat code to AI ad creatives ...","need ad creatives -we create -we make","Hey @adamtaylorl ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/Bogzabs96/status/2052123154533818376","Bogzabs96","Random creatives don't scale. Structured ...","need ad creatives -we create -we make","Hey @Bogzabs96 ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/TheSamAdanbioje/status/2052128609997836480","TheSamAdanbioje","@CarsinDesign I really to win on upwork, niche down to ad ...","need ad creatives -we create -we make","Hey @TheSamAdanbioje ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/rowancheung/status/2048767013472833869","rowancheung","research and ship ad creatives that hook the next million AI ...","looking for ad creative","Hey @rowancheung ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/HamptonAc_/status/2057832312507703305","HamptonAc_","A roadmap on how to run your entire ad operation with AI ...","looking for ad creative","Hey @HamptonAc_ ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/raptorAFC/status/2053791968979820804","raptorAFC","Need someone to make the Arsenal version of this #ADS is a ...","need someone to make ads","Hey @raptorAFC ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/LordofAds/status/2052884528671195213","LordofAds","Founder: hello video editor, I will pay you ... X https://x.com ? LordofAds ? status","anyone make video ads","Hey @LordofAds ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/iKaustubhChavan/status/2050536738628788616","iKaustubhChavan","Your ads are not scaling because you are busy looking for ...","anyone make video ads","Hey @iKaustubhChavan ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/thecvcook/status/2052724826054234530","thecvcook","WE ARE HIRING! Job Title: Graphics & Motion Designer ...","looking for motion graphics -I do -I create","Hey @thecvcook ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/Jobnetworkng/status/2053101219313262945","Jobnetworkng","Hiring: Motion & Graphics Designer Location","looking for motion graphics -I do -I create","Hey @Jobnetworkng ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/beinggurudotcom/status/2050886732736868450","beinggurudotcom","Job Posted On WC: Technical Video Editor (Motion ...","looking for motion graphics -I do -I create","Hey @beinggurudotcom ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/Ujay_1/status/2049138995951480968","Ujay_1","Minimum of 4 years video editing experience","looking for motion graphics -I do -I create","Hey @Ujay_1 ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/JaiDolwani/status/2052779489386803383","JaiDolwani","A top 0.01% paid ads and landing page copywriter","looking for motion graphics -I do -I create","Hey @JaiDolwani ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/isaac_idigu/status/2054963138177470835","isaac_idigu","Remote Turkish-Speaking Video & Motion Graphics ...","looking for motion graphics -I do -I create","Hey @isaac_idigu ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/ethan_palo/status/2050984982760276392","ethan_palo","X ? ethan_palo 170+ likes I have knowledge of most of the adobe creative suite, 4+ years of experience, a working knowledge of Figma, Blender, and motion graphics. Any support is greatly ...","looking for motion graphics -I do -I create","Hey @ethan_palo ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/dryedmangoez/status/2049256415014060163","dryedmangoez","Wait, this motion graphic/ident for TV5's new logo! The way ...","need motion graphic","Hey @dryedmangoez ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/Pieholetv/status/2057907200006275085","Pieholetv","Cool, you have an explainer video. Now what? You don't need ...","need explainer video","Hey @Pieholetv ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/growthkab/status/2049439331916644413","growthkab","I need help with designing a SaaS Explainer video. ...","need explainer video","Hey @growthkab ? saw you're looking for video help. I make motion graphic videos and video ads ? 48?72h turnaround, no contracts. Check out jayrx.net to see samples."
"X","https://x.com/WorkWithIndies/status/2054603077680820663","WorkWithIndies","Hooked is hiring a Animator","looking for animator -available -for hire","Hey @WorkWithIndies ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
"X","https://x.com/nottozawa/status/2052831895575298209","nottozawa","Looking for an AI Animator with a style similar to ...","looking for animator -available -for hire","Hey @nottozawa ? saw your post. I produce ad creatives (video ads, motion graphics, static) for brands ? 48?72h delivery, no minimums. jayrx.net has samples. Worth a quick chat?"
